Conditional Mutex-alt,8,0.204754
Conditional Mutex-alt,16,0.139179
Conditional Mutex-alt,16,0.14841
Conditional Mutex-alt,32,0.142094
Conditional Mutex-alt,32,0.151536
Conditional Mutex-alt,64,0.1481
Conditional Mutex-alt,64,0.160067
Conditional Mutex-alt,128,0.16351
Conditional Mutex-alt,128,0.177774
Conditional Mutex-alt,256,0.192883
Conditional Mutex-alt,256,0.207121
Conditional Mutex-alt,512,0.2503
Conditional Mutex-alt,512,0.26695
Conditional Mutex-alt,1024,0.384023
Conditional Mutex-alt,1024,0.398867
Conditional Mutex-alt,2048,0.605016
Conditional Mutex-alt,2048,0.634276
T merge,2,0.0530458
T merge,2,0.0552297
T merge,4,0.0470675
T merge,4,0.0500155
T merge,8,0.0340386
T merge,8,0.0362409
T merge,16,0.0319048
T merge,16,0.0332789
T merge,32,0.0312392
T merge,32,0.0331642
T merge,64,0.0342473
T merge,64,0.0349926
T merge,128,0.0369291
T merge,128,0.0385676
T merge,256,0.046949
T merge,256,0.0489105
T merge,512,0.0550967
T merge,512,0.0624821
T merge,1024,0.0947048
T merge,1024,0.102322
T merge,2048,0.160594
T merge,2048,0.169596
Original,2,0.158268
Original,2,0.165723
Original,4,0.112089
Original,4,0.119858
Original,8,0.166193
Original,8,0.170368
Original,16,0.111848
Original,16,0.11486
Original,32,0.11628
Original,32,0.117245
Original,64,0.122141
Original,64,0.124714
Original,128,0.135331
Original,128,0.143756
Original,256,0.169252
Original,256,0.176596
Original,512,0.217162
Original,512,0.226799
Original,1024,0.308536
Original,1024,0.332798
Original,2048,0.520468
Original,2048,0.536005
Serial Vector,2,0.125029
Serial Vector,2,0.131294
Serial Vector,4,0.11944
Serial Vector,4,0.125752
Serial Vector,8,0.118903
Serial Vector,8,0.126335
Serial Vector,16,0.120694
Serial Vector,16,0.127935
Serial Vector,32,0.116741
Serial Vector,32,0.121187
Serial Vector,64,0.121467
Serial Vector,64,0.125456
Serial Vector,128,0.12993
Serial Vector,128,0.145947
Serial Vector,256,0.170774
Serial Vector,256,0.173025
Serial Vector,512,0.222422
Serial Vector,512,0.227946
Serial Vector,1024,0.318467
Serial Vector,1024,0.323438
Serial Vector,2048,0.509783
Serial Vector,2048,0.535298
Mutex Lock,2,0.208626
Mutex Lock,2,0.226346
Mutex Lock,4,0.203423
Mutex Lock,4,0.221162
Mutex Lock,8,0.206391
Mutex Lock,8,0.221679
Mutex Lock,16,0.20874
